city	state_id	lat	lng	density	timezone
Berkley	CO	39.8045	-105.0281	1211	America/Denver
Guthrie	OK	35.8424	-97.4366	242	America/Chicago
Newport East	RI	41.5159	-71.2878	757	America/New_York
Guttenberg	NJ	40.7928	-74.0049	18829.8	America/New_York
Summerfield	NC	36.1973	-79.8997	165	America/New_York
Show Low	AZ	34.2671	-110.0384	66	America/Phoenix
Beachwood	NJ	39.9286	-74.2022	1575	America/New_York
Waupun	WI	43.6314	-88.7381	941	America/Chicago
Haysville	KS	37.5648	-97.3527	926	America/Chicago
Pearsall	TX	28.8915	-99.0975	662	America/Chicago
Hudson	FL	28.3595	-82.6894	682	America/New_York
Burkburnett	TX	34.0746	-98.5672	375	America/Chicago
Selma	TX	29.5866	-98.3132	861	America/Chicago
Camp Verde	AZ	34.569	-111.856	102	America/Phoenix
Travilah	MD	39.057	-77.247	272	America/New_York
Lighthouse Point	FL	26.2785	-80.0891	1881	America/New_York
Canyon Lake	CA	33.6885	-117.2621	1106	America/Los_Angeles
Webster	TX	29.5317	-95.1188	678	America/Chicago
Gloucester City	NJ	39.8924	-75.1172	1873	America/New_York
Mack	OH	39.1492	-84.6794	486	America/New_York
Forestville	MD	38.8518	-76.8708	1103	America/New_York
Greensburg	IN	39.3518	-85.5028	462	America/Indiana/Indianapolis
Grand Rapids	MN	47.238	-93.5327	191	America/Chicago
Robstown	TX	27.794	-97.6692	333	America/Chicago
Snyder	TX	32.7133	-100.9116	484	America/Chicago
Fulton	NY	43.3171	-76.4167	1103	America/New_York
Ridgefield	NJ	40.8313	-74.0147	1701	America/New_York
Springdale	OH	39.2909	-84.476	868	America/New_York
Scottdale	GA	33.795	-84.2634	1299	America/New_York
Garden City	SC	33.5926	-79.0071	808	America/New_York
Merriam	KS	39.0186	-94.6933	1000	America/Chicago
East Glenville	NY	42.8648	-73.9256	429	America/New_York
Ionia	MI	42.9773	-85.0727	797	America/Detroit
Summit	IL	41.7877	-87.8146	2035	America/Chicago
Niles	MI	41.8346	-86.2473	744	America/Detroit
Jefferson Hills	PA	40.2926	-79.9329	259	America/New_York
Lower Burrell	PA	40.5818	-79.7141	382	America/New_York
Goulds	FL	25.5614	-80.388	1479	America/New_York
Pebble Creek	FL	28.1583	-82.3411	1522	America/New_York
Yorktown	IN	40.183	-85.5123	134	America/Indiana/Indianapolis
Lake Morton-Berrydale	WA	47.3325	-122.1032	348	America/Los_Angeles
Town and Country	MO	38.6317	-90.479	373	America/Chicago
Grosse Pointe Park	MI	42.3794	-82.9287	1979	America/Toronto
Coamo	PR	18.0765	-66.3638	2351	America/Puerto_Rico
Lincolnton	NC	35.4748	-81.2386	494	America/New_York
Westwood	NJ	40.9878	-74.0308	1896	America/New_York
Westwood Lakes	FL	25.7237	-80.3717	2581	America/New_York
Big Lake	MN	45.3417	-93.7434	611	America/Chicago
New Albany	OH	40.0809	-82.7848	258	America/New_York
Lake Grove	NY	40.8586	-73.1168	1448	America/New_York
Sonoma	CA	38.2902	-122.4598	1559	America/Los_Angeles
Two Rivers	WI	44.1565	-87.5824	707	America/Chicago
Celebration	FL	28.3102	-81.551	406	America/New_York
Forest	VA	37.3728	-79.2831	314	America/New_York
Grandview	WA	46.2443	-119.9092	664	America/Los_Angeles
Lindon	UT	40.3414	-111.7187	511	America/Denver
Minooka	IL	41.4507	-88.2791	454	America/Chicago
La Homa	TX	26.2796	-98.3575	676	America/Chicago
Ocean City	NJ	39.2681	-74.602	632	America/New_York
Plano	IL	41.6757	-88.5293	475	America/Chicago
Lanham	MD	38.962	-76.8421	1209	America/New_York
Munhall	PA	40.3935	-79.9005	1860	America/New_York
Franklin Lakes	NJ	41.0086	-74.2083	452	America/New_York
Spencer	IA	43.1468	-95.1534	389	America/Chicago
Ontario	OR	44.0259	-116.976	824	America/Boise
Middle Island	NY	40.8857	-72.9454	518	America/New_York
Doctor Phillips	FL	28.4474	-81.4914	1250	America/New_York
Santa Clara	OR	44.1154	-123.1344	895	America/Los_Angeles
New Baltimore	VA	38.7495	-77.7151	354	America/New_York
Picayune	MS	30.5322	-89.6724	235	America/Chicago
The Hills	NJ	40.6561	-74.6215	1498	America/New_York
Bolivar	MO	37.6059	-93.4175	516	America/Chicago
Satellite Beach	FL	28.1782	-80.6019	1454	America/New_York
Weddington	NC	35.0228	-80.7383	242	America/New_York
Pompton Lakes	NJ	41.0024	-74.2859	1470	America/New_York
Progress	PA	40.2901	-76.8394	1408	America/New_York
Coshocton	OH	40.2618	-81.848	530	America/New_York
Grand Haven	MI	43.0553	-86.2201	741	America/Detroit
North Logan	UT	41.7759	-111.8066	594	America/Denver
Castle Pines	CO	39.4625	-104.8706	441	America/Denver
Damascus	OR	45.4233	-122.4436	240	America/Los_Angeles
Waimea	HI	20.0124	-155.6381	107	Pacific/Honolulu
Morgan City	LA	29.7041	-91.192	707	America/Chicago
Campton Hills	IL	41.9498	-88.4166	250	America/Chicago
Dobbs Ferry	NY	41.0127	-73.8697	1746	America/New_York
DeRidder	LA	30.8468	-93.2931	455	America/Chicago
Placerville	CA	38.7308	-120.7979	724	America/Los_Angeles
Raymondville	TX	26.4759	-97.7769	1027	America/Chicago
Mount Kisco	NY	41.2016	-73.7281	1389	America/New_York
Suffern	NY	41.1138	-74.1422	2015	America/New_York
Gonzales	LA	30.2132	-90.9234	461	America/Chicago
Brock Hall	MD	38.8604	-76.7459	423	America/New_York
Lawrenceburg	TN	35.2497	-87.3325	333	America/Chicago
Hawaiian Paradise Park	HI	19.5828	-154.9695	275	Pacific/Honolulu
Oneida	NY	43.0769	-75.6622	191	America/New_York
Waggaman	LA	29.9373	-90.2354	735	America/Chicago
On Top of the World Designated Place	FL	29.1058	-82.2866	240	America/New_York
Riverton	WY	43.0421	-108.4144	407	America/Denver
Burlington	WI	42.6744	-88.2721	546	America/Chicago
Hartsville	TN	36.3921	-86.1568	36	America/Chicago
Woodmere	LA	29.8493	-90.0751	1153	America/Chicago
Waynesboro	PA	39.7524	-77.5822	1233	America/New_York
Manchester	TN	35.463	-86.0774	294	America/Chicago
Malvern	AR	34.3734	-92.8205	426	America/Chicago
Kings Mountain	NC	35.2349	-81.3501	313	America/New_York
Sussex	WI	43.1346	-88.2226	527	America/Chicago
River Forest	IL	41.895	-87.8194	1694	America/Chicago
Camden	AR	33.5672	-92.8467	254	America/Chicago
Poulsbo	WA	47.7417	-122.6407	885	America/Los_Angeles
North Lindenhurst	NY	40.7072	-73.3859	2172	America/New_York
Sturgis	MI	41.7991	-85.4184	618	America/Detroit
Vermillion	SD	42.7811	-96.9256	917	America/Chicago
Shiloh	PA	39.9732	-76.792	982	America/New_York
Galena Park	TX	29.7452	-95.2333	871	America/Chicago
Heath	OH	40.0241	-82.4413	389	America/New_York
Farmersville	CA	36.305	-119.2083	1901	America/Los_Angeles
Asbury Lake	FL	30.0472	-81.7853	246	America/New_York
Raceland	LA	29.7282	-90.6362	193	America/Chicago
Tega Cay	SC	35.039	-81.0111	932	America/New_York
Fairview	CA	37.6758	-122.0473	1406	America/Los_Angeles
Potomac Park	CA	35.3636	-118.965	2925	America/Los_Angeles
Union Park	FL	28.5657	-81.2355	1467	America/New_York
West Point	UT	41.122	-112.0995	587	America/Denver
Sierra Madre	CA	34.1687	-118.0504	1416	America/Los_Angeles
Montgomery	OH	39.2496	-84.3458	787	America/New_York
Highland Park	MI	42.4052	-83.0977	1405	America/Detroit
Rockport	TX	28.029	-97.0722	252	America/Chicago
Burtonsville	MD	39.1166	-76.9356	532	America/New_York
Totowa	NJ	40.9039	-74.2214	1043	America/New_York
Yazoo City	MS	32.8619	-90.4075	413	America/Chicago
Tarboro	NC	35.9046	-77.5563	359	America/New_York
Halfway	MD	39.6162	-77.7703	886	America/New_York
Brooklyn	OH	41.4349	-81.7497	979	America/New_York
Melissa	TX	33.2891	-96.5573	363	America/Chicago
Waihee-Waiehu	HI	20.9188	-156.5063	975	Pacific/Honolulu
Newport	OR	44.6242	-124.0513	416	America/Los_Angeles
Taylorville	IL	39.5328	-89.2804	402	America/Chicago
Bellmead	TX	31.6026	-97.0897	602	America/Chicago
Crestwood	IL	41.6454	-87.7397	1362	America/Chicago
Little Ferry	NJ	40.8464	-74.0388	2812	America/New_York
Essex Junction	VT	44.4902	-73.1141	910	America/New_York
Burr Ridge	IL	41.7485	-87.92	581	America/Chicago
Fair Oaks Ranch	TX	29.7467	-98.6376	338	America/Chicago
Ironton	OH	38.5323	-82.6779	928	America/New_York
Fairfield	AL	33.4747	-86.9194	1199	America/Chicago
Batesville	AR	35.7687	-91.6227	357	America/Chicago
Waipio	HI	21.4143	-157.9966	3327	Pacific/Honolulu
Northbrook	OH	39.2467	-84.5796	2148	America/New_York
Fox Lake	IL	42.4239	-88.1844	529	America/Chicago
Muskegon Heights	MI	43.2023	-86.2421	1301	America/Detroit
Soquel	CA	36.9978	-121.9483	900	America/Los_Angeles
Darby	PA	39.921	-75.261	4910	America/New_York
Cold Springs	NV	39.6927	-119.9775	471	America/Los_Angeles
Pleasanton	TX	28.9642	-98.4957	461	America/Chicago
Memphis	FL	27.5435	-82.5608	1267	America/New_York
Woodbury	NY	41.3284	-74.1004	116	America/New_York
Columbia	IL	38.4581	-90.2156	400	America/Chicago
Arkadelphia	AR	34.1253	-93.0729	546	America/Chicago
Comstock Park	MI	43.0438	-85.6778	1060	America/Detroit
Vidor	TX	30.1291	-93.9967	342	America/Chicago
New Port Richey East	FL	28.2605	-82.6931	1096	America/New_York
Millington	TN	35.335	-89.8991	183	America/Chicago
Forestville	OH	39.0711	-84.3389	1111	America/New_York
Corning	NY	42.147	-77.0561	1332	America/New_York
Timonium	MD	39.4459	-76.6032	718	America/New_York
Isabela	PR	18.4991	-67.022	1569	America/Puerto_Rico
Lansdowne	PA	39.9408	-75.276	3476	America/New_York
Roscoe	IL	42.4256	-89.0084	399	America/Chicago
East Liverpool	OH	40.6333	-80.5677	873	America/New_York
Gardere	LA	30.3582	-91.1346	1235	America/Chicago
Petal	MS	31.3477	-89.2359	244	America/Chicago
Broomall	PA	39.9688	-75.354	1292	America/New_York
Lake Barcroft	VA	38.8514	-77.1579	1682	America/New_York
Sweetwater	TX	32.4692	-100.4092	369	America/Chicago
Cordele	GA	31.9563	-83.7694	403	America/New_York
South Yarmouth	MA	41.6692	-70.2005	588	America/New_York
Greentree	NJ	39.8989	-74.9613	879	America/New_York
Morro Bay	CA	35.3682	-120.8482	767	America/Los_Angeles
Blackhawk	CA	37.8159	-121.9071	707	America/Los_Angeles
Martin	TN	36.3385	-88.8513	329	America/Chicago
North Branch	MN	45.5137	-92.9601	114	America/Chicago
Jackson	WY	43.472	-110.7746	1380	America/Denver
Monroe	WI	42.603	-89.6381	728	America/Chicago
Marinette	WI	45.0871	-87.6336	582	America/Chicago
Atchison	KS	39.5625	-95.1367	508	America/Chicago
Vermilion	OH	41.4103	-82.3214	384	America/New_York
Ogdensburg	NY	44.7088	-75.4717	822	America/Toronto
Gateway	FL	26.5793	-81.7446	759	America/New_York
Jacinto City	TX	29.7663	-95.241	2196	America/Chicago
Worth	IL	41.6877	-87.7916	1718	America/Chicago
Pompton Plains	NJ	40.9679	-74.3075	783	America/New_York
Avon Park	FL	27.5898	-81.5068	401	America/New_York
Van Wert	OH	40.8651	-84.5879	541	America/New_York
Bedford Heights	OH	41.4041	-81.5053	894	America/New_York
Triangle	VA	38.5483	-77.3195	1443	America/New_York
Farmington	MI	42.4614	-83.3784	1525	America/Detroit
West Point	MS	33.6064	-88.6572	194	America/Chicago
Oregon	WI	42.9253	-89.3892	904	America/Chicago
Alpine	UT	40.4629	-111.7724	510	America/Denver
Storm Lake	IA	42.6431	-95.196	754	America/Chicago
West Vero Corridor	FL	27.6363	-80.4844	692	America/New_York
De Witt	NY	43.03	-76.0819	625	America/New_York
Wyomissing	PA	40.3317	-75.9703	899	America/New_York
Timberlane	LA	29.8781	-90.0303	2695	America/Chicago
Celina	OH	40.555	-84.5626	806	America/New_York
Gunbarrel	CO	40.0632	-105.1713	648	America/Denver
Helena-West Helena	AR	34.5313	-90.6201	309	America/Chicago
Arizona City	AZ	32.7506	-111.6707	659	America/Phoenix
Difficult Run	VA	38.9016	-77.3471	483	America/New_York
Anderson	CA	40.4497	-122.295	575	America/Los_Angeles
Burley	ID	42.5379	-113.7926	632	America/Boise
DeForest	WI	43.2301	-89.3431	475	America/Chicago
Covington	LA	30.481	-90.1122	504	America/Chicago
Cusseta	GA	32.347	-84.787	16	America/New_York
Wasilla	AK	61.577	-149.466	326	America/Anchorage
North Bellport	NY	40.7868	-72.9457	823	America/New_York
Shelton	WA	47.2186	-123.1121	694	America/Los_Angeles
Cadillac	MI	44.2493	-85.4164	570	America/Detroit
Kearney	MO	39.355	-94.3599	302	America/Chicago
Pleasant View	UT	41.3249	-112.0011	578	America/Denver
Jessup	MD	39.1488	-76.7772	667	America/New_York
Lake Monticello	VA	37.921	-78.3295	456	America/New_York
Vernal	UT	40.4517	-109.5378	872	America/Denver
Tanaina	AK	61.6576	-149.4263	133	America/Anchorage
Mount Sinai	NY	40.9372	-73.0179	672	America/New_York
Budd Lake	NJ	40.8733	-74.7375	740	America/New_York
Barrington	IL	42.1515	-88.1281	874	America/Chicago
Bellefontaine Neighbors	MO	38.7529	-90.228	917	America/Chicago
Exeter	CA	36.2941	-119.1459	1636	America/Los_Angeles
Prineville	OR	44.2985	-120.8607	313	America/Los_Angeles
Silverton	OR	45.003	-122.7808	1147	America/Los_Angeles
Union City	TN	36.4267	-89.0474	332	America/Chicago
Newcastle	OK	35.2401	-97.5995	67	America/Chicago
Del Aire	CA	33.9167	-118.3693	3991	America/Los_Angeles
Sugarmill Woods	FL	28.7299	-82.501	140	America/New_York
Little Canada	MN	45.0244	-93.0863	1032	America/Chicago
Pine Hill	NJ	39.7879	-74.9857	1028	America/New_York
Waterloo	IL	38.3403	-90.1538	494	America/Chicago
Oak Hills	CA	34.391	-117.4123	164	America/Los_Angeles
Frederick	CO	40.1088	-104.9701	266	America/Denver
Portage	WI	43.5489	-89.4658	451	America/Chicago
Monmouth	OR	44.8505	-123.2284	1849	America/Los_Angeles
Cape Canaveral	FL	28.3933	-80.6049	1809	America/New_York
Fort Madison	IA	40.6207	-91.3509	416	America/Chicago
Quartz Hill	CA	34.6527	-118.2163	1067	America/Los_Angeles
Vashon	WA	47.4122	-122.4726	108	America/Los_Angeles
Cambridge	OH	40.0221	-81.5869	630	America/New_York
Palatka	FL	29.6493	-81.6705	411	America/New_York
Liberty Lake	WA	47.6686	-117.1036	641	America/Los_Angeles
Vidalia	GA	32.2125	-82.4019	224	America/New_York
Danville	IN	39.7584	-86.5019	457	America/Indiana/Indianapolis
Beverly Hills	MI	42.522	-83.2423	995	America/Detroit
Richmond Heights	OH	41.5589	-81.5029	903	America/New_York
Gloucester Point	VA	37.2767	-76.5043	425	America/New_York
Progress Village	FL	27.8831	-82.3593	1323	America/New_York
Miami Shores	FL	25.867	-80.1779	1610	America/New_York
Columbia	PA	40.0347	-76.4944	1658	America/New_York
Big Rapids	MI	43.6992	-85.4806	899	America/Detroit
River Road	OR	44.0833	-123.132	2189	America/Los_Angeles
Moss Bluff	LA	30.3039	-93.2051	262	America/Chicago
Fife	WA	47.2329	-122.3518	693	America/Los_Angeles
Sedona	AZ	34.8581	-111.7941	218	America/Phoenix
Lyons	IL	41.8119	-87.8191	1808	America/Chicago
Fairfield	IA	41.0064	-91.9667	602	America/Chicago
Granbury	TX	32.4475	-97.7702	246	America/Chicago
Sauk Village	IL	41.4906	-87.5706	998	America/Chicago
Hillsdale	NJ	41.0074	-74.044	1372	America/New_York
Greencastle	IN	39.6432	-86.8418	760	America/Indiana/Indianapolis
Fredonia	NY	42.4407	-79.3319	775	America/New_York
Fairview Shores	FL	28.6021	-81.3958	1344	America/New_York
Amelia	OH	39.0269	-84.2218	719	America/New_York
Cottage Grove	OR	43.796	-123.0573	1029	America/Los_Angeles
Lake Hopatcong	NJ	40.9599	-74.6094	539	America/New_York
Forest Acres	SC	34.0323	-80.9716	864	America/New_York
Melvindale	MI	42.2802	-83.1782	1458	America/Detroit
Bluffton	IN	40.7424	-85.173	478	America/Indiana/Indianapolis
Nanticoke	PA	41.2005	-76.0003	1149	America/New_York
Bonham	TX	33.588	-96.1901	404	America/Chicago
Reading	OH	39.2242	-84.4333	1374	America/New_York
Jefferson	LA	29.9609	-90.1554	1466	America/Chicago
Bee Ridge	FL	27.2855	-82.4731	1058	America/New_York
Gig Harbor	WA	47.3352	-122.5964	672	America/Los_Angeles
Pella	IA	41.4052	-92.9189	432	America/Chicago
Sabana Grande	PR	18.0832	-66.9645	1846	America/Puerto_Rico
Troy	IL	38.7268	-89.8977	706	America/Chicago
Arden Hills	MN	45.0721	-93.167	468	America/Chicago
Mapleton	UT	40.1188	-111.5742	297	America/Denver
Smithville	MO	39.3919	-94.5747	247	America/Chicago
Vienna	WV	39.324	-81.5383	998	America/New_York
Milton	FL	30.6286	-87.0522	711	America/Chicago
Bound Brook	NJ	40.5676	-74.5383	2383	America/New_York
East Bakersfield	CA	35.3832	-118.9743	5029	America/Los_Angeles
Somers Point	NJ	39.3167	-74.6066	986	America/New_York
Sumner	WA	47.2189	-122.2338	525	America/Los_Angeles
Doraville	GA	33.9073	-84.2711	805	America/New_York
London	OH	39.8935	-83.4375	470	America/New_York
Belle Chasse	LA	29.8558	-90.0045	484	America/Chicago
Shasta Lake	CA	40.679	-122.3775	361	America/Los_Angeles
Golden Hills	CA	35.1409	-118.4968	362	America/Los_Angeles
East Stroudsburg	PA	41.0023	-75.1779	1389	America/New_York
Elgin	TX	30.3526	-97.3883	596	America/Chicago
Browns Mills	NJ	39.9737	-74.569	734	America/New_York
Keokuk	IA	40.4095	-91.4031	433	America/Chicago
Lincoln Park	NJ	40.9239	-74.3035	616	America/New_York
West Haverstraw	NY	41.2063	-73.9884	2592	America/New_York
Newberry	SC	34.2813	-81.601	438	America/New_York
Mount Airy	NC	36.5083	-80.6155	337	America/New_York
Eureka	MO	38.5004	-90.6491	355	America/Chicago
Manville	NJ	40.542	-74.5892	1666	America/New_York
Cedar Hills	UT	40.4135	-111.7531	1443	America/Denver
Rincon	GA	32.2947	-81.2353	403	America/New_York
South Huntington	NY	40.8225	-73.3921	1151	America/New_York
East Whittier	CA	33.9244	-117.9887	3606	America/Los_Angeles
Independence	OR	44.8547	-123.1952	1317	America/Los_Angeles
Struthers	OH	41.051	-80.592	1079	America/New_York
Saks	AL	33.7118	-85.8536	322	America/Chicago
Waverly	IA	42.725	-92.4708	348	America/Chicago
Great Neck	NY	40.8029	-73.7333	2965	America/New_York
Marlton	NJ	39.9014	-74.9294	1190	America/New_York
Warr Acres	OK	35.5285	-97.6182	1400	America/Chicago
Panthersville	GA	33.7059	-84.2763	1070	America/New_York
Lantana	TX	33.0926	-97.1214	1684	America/Chicago
Wood River	IL	38.8631	-90.0774	561	America/Chicago
Waynesville	NC	35.4854	-82.9996	442	America/New_York
Mentone	CA	34.0609	-117.1108	640	America/Los_Angeles
Snohomish	WA	47.9276	-122.0969	1111	America/Los_Angeles
Fountain Inn	SC	34.6989	-82.2005	505	America/New_York
Highland	IL	38.7602	-89.6812	578	America/Chicago
Orange Cove	CA	36.6211	-119.3188	2180	America/Los_Angeles
Rotonda	FL	26.8844	-82.2791	366	America/New_York
Linthicum	MD	39.2088	-76.6626	715	America/New_York
Meadowbrook	AL	33.3935	-86.7041	895	America/Chicago
Citrus	CA	34.116	-117.8891	4453	America/Los_Angeles
Bel Air	MD	39.5348	-76.346	1286	America/New_York
Bithlo	FL	28.5644	-81.1073	358	America/New_York
Blacklick Estates	OH	39.9049	-82.8655	2064	America/New_York
Garden Acres	CA	37.9637	-121.2296	1508	America/Los_Angeles
Chalco	NE	41.1817	-96.1353	1383	America/Chicago
Capitola	CA	36.9773	-121.9537	2443	America/Los_Angeles
Sleepy Hollow	NY	41.0936	-73.8722	1736	America/New_York
Makaha	HI	21.4739	-158.2102	1447	Pacific/Honolulu
Harrisonville	MO	38.653	-94.3467	393	America/Chicago
Woodburn	VA	38.8503	-77.2322	1394	America/New_York
St. Albans	WV	38.3769	-81.8198	1076	America/New_York
Vernon	TX	34.1479	-99.3	493	America/Chicago
Bernalillo	NM	35.3127	-106.5537	796	America/Denver
Española	NM	36.0044	-106.0686	472	America/Denver
Lexington	NE	40.7779	-99.7461	863	America/Chicago
Kennett	MO	36.2403	-90.0481	555	America/Chicago
Marina del Rey	CA	33.9765	-118.4486	4531	America/Los_Angeles
Purcellville	VA	39.1378	-77.711	1147	America/New_York
Winterville	NC	35.5291	-77.4	791	America/New_York
Cedartown	GA	34.0223	-85.2479	425	America/New_York
Bastrop	LA	32.7748	-91.9078	453	America/Chicago
Waldwick	NJ	41.0133	-74.1259	1896	America/New_York
Glenwood Springs	CO	39.5455	-107.3347	664	America/Denver
Fairmont	MN	43.6441	-94.4621	258	America/Chicago
Cypress Gardens	FL	28.0036	-81.6857	1119	America/New_York
Tipp City	OH	39.9644	-84.1866	482	America/New_York
Elkhorn	WI	42.6713	-88.5377	480	America/Chicago
The Pinery	CO	39.4462	-104.7591	373	America/Denver
Brandon	SD	43.5928	-96.5799	719	America/Chicago
Plymouth	IN	41.3483	-86.3187	511	America/Indiana/Indianapolis
Westgate	FL	26.6994	-80.0989	2548	America/New_York
Berlin	NH	44.4869	-71.2599	63	America/New_York
Rodeo	CA	38.0367	-122.2526	1028	America/Los_Angeles
Holmen	WI	43.9706	-91.2654	532	America/Chicago
Paris	TN	36.2933	-88.3065	299	America/Chicago
Wabash	IN	40.8034	-85.8301	401	America/Indiana/Indianapolis
Le Mars	IA	42.781	-96.1733	452	America/Chicago
Clinton	TN	36.0981	-84.1283	332	America/New_York
Berwick	PA	41.0555	-76.2492	1256	America/New_York
Galion	OH	40.7385	-82.7792	522	America/New_York
Ventnor City	NJ	39.3457	-74.486	1973	America/New_York
Madera Acres	CA	37.0123	-120.0799	529	America/Los_Angeles
La Cresta	CA	35.3972	-118.9892	3686	America/Los_Angeles
Linganore	MD	39.4127	-77.3014	465	America/New_York
Kinnelon	NJ	40.9847	-74.3862	213	America/New_York
Alpena	MI	45.074	-83.4402	471	America/Detroit
Friendly	MD	38.7601	-76.9642	790	America/New_York
Watervliet	NY	42.7243	-73.7068	2870	America/New_York
Flat Rock	MI	42.0991	-83.2716	586	America/Detroit
Red Bank	SC	33.9309	-81.2322	308	America/New_York
Lambertville	MI	41.7484	-83.6244	571	America/Detroit
Charter Oak	CA	34.1025	-117.8564	4146	America/Los_Angeles
Kapaa	HI	22.091	-159.3521	383	Pacific/Honolulu
Pleasant Hill	IA	41.5867	-93.4953	368	America/Chicago
River Grove	IL	41.9243	-87.8379	1607	America/Chicago
Boiling Springs	SC	35.045	-81.9779	562	America/New_York
George Mason	VA	38.8356	-77.3186	1513	America/New_York
Scaggsville	MD	39.1416	-76.8843	762	America/New_York
Gages Lake	IL	42.3519	-87.9828	1288	America/Chicago
Box Elder	SD	44.112	-103.0818	264	America/Denver
Clay	AL	33.6951	-86.609	347	America/Chicago
Fort Salonga	NY	40.9068	-73.2996	403	America/New_York
Astoria	OR	46.1856	-123.8053	624	America/Los_Angeles
Warrenton	VA	38.7176	-77.7976	875	America/New_York
Wimauma	FL	27.6964	-82.3034	153	America/New_York
Birch Bay	WA	48.9243	-122.7519	223	America/Los_Angeles
Loudonville	NY	42.7068	-73.7665	770	America/New_York
Conning Towers Nautilus Park	CT	41.385	-72.0684	735	America/New_York
Denham Springs	LA	30.4743	-90.9593	524	America/Chicago
Alachua	FL	29.7779	-82.4832	105	America/New_York
Spout Springs	NC	35.2724	-79.0331	444	America/New_York
Fort Oglethorpe	GA	34.9318	-85.246	274	America/New_York
Jennings	LA	30.2233	-92.6582	366	America/Chicago
Northampton	PA	40.6866	-75.4904	1542	America/New_York
Jesup	GA	31.5992	-81.8895	230	America/New_York
Stonegate	CO	39.5357	-104.8032	2077	America/Denver
Kendall Park	NJ	40.4135	-74.5631	1006	America/New_York
Felida	WA	45.7138	-122.7103	1307	America/Los_Angeles
Woodbury	NJ	39.8379	-75.1524	1880	America/New_York
Trumbull Center	CT	41.2415	-73.1836	665	America/New_York
Carroll	IA	42.0699	-94.8646	660	America/Chicago
Mayfield	KY	36.7371	-88.6447	518	America/Chicago
Star	ID	43.7026	-116.4914	494	America/Boise
St. Augustine Shores	FL	29.8039	-81.3086	864	America/New_York
Fairmount	NY	43.0414	-76.2485	1126	America/New_York
Scotchtown	NY	41.4765	-74.3668	783	America/New_York
Cody	WY	44.5213	-109.0548	370	America/Denver
East Rockaway	NY	40.6432	-73.6672	3720	America/New_York
Alcoa	TN	35.8076	-83.9753	252	America/New_York
Benton Harbor	MI	42.1159	-86.4488	864	America/Detroit
Inwood	NY	40.6219	-73.7506	2373	America/New_York
Coweta	OK	35.9683	-95.6545	359	America/Chicago
Russellville	AL	34.5055	-87.7283	282	America/Chicago
Chevy Chase	MD	38.9944	-77.0738	1568	America/New_York
Orange Lake	NY	41.5369	-74.1005	433	America/New_York
Lowell	IN	41.2917	-87.4195	584	America/Chicago
Corte Madera	CA	37.9238	-122.5128	1196	America/Los_Angeles
Victoria	MN	44.8634	-93.6585	433	America/Chicago
Baker City	OR	44.7749	-117.832	527	America/Los_Angeles
Peru	IL	41.3482	-89.1371	377	America/Chicago
Paris	KY	38.2016	-84.2718	476	America/New_York
Bluefield	WV	37.2608	-81.2143	417	America/New_York
Rifle	CO	39.5362	-107.7729	536	America/Denver
Ingleside	TX	27.8703	-97.2075	224	America/Chicago
Fort Stewart	GA	31.8811	-81.6131	340	America/New_York
Sweet Home	OR	44.4023	-122.7028	711	America/Los_Angeles
Mount Vista	WA	45.7373	-122.6316	720	America/Los_Angeles
Sugar Grove	IL	41.7759	-88.4481	320	America/Chicago
Eunice	LA	30.4904	-92.4191	733	America/Chicago
Ellisville	MO	38.5897	-90.5884	861	America/Chicago
San Diego Country Estates	CA	33.0094	-116.7874	224	America/Los_Angeles
Sparta	WI	43.9377	-90.8131	470	America/Chicago
Oil City	PA	41.4281	-79.7036	837	America/New_York
New Hyde Park	NY	40.7323	-73.6858	4438	America/New_York
Pike Road	AL	32.2939	-86.09	113	America/Chicago
Lake Arrowhead	CA	34.2531	-117.1944	212	America/Los_Angeles
Uniontown	PA	39.8993	-79.7246	1834	America/New_York
North Gates	NY	43.1718	-77.7064	1413	America/New_York
Havre	MT	48.5427	-109.6804	1013	America/Denver
Dunn	NC	35.3114	-78.6129	547	America/New_York
Bull Mountain	OR	45.4125	-122.832	1886	America/Los_Angeles
Woodlyn	PA	39.8774	-75.3445	2244	America/New_York
Cabo Rojo	PR	18.0867	-67.1482	1594	America/Puerto_Rico
Aiea	HI	21.3865	-157.9232	2261	Pacific/Honolulu
Mooresville	IN	39.6022	-86.3681	560	America/Indiana/Indianapolis
Walker Mill	MD	38.8758	-76.8854	1244	America/New_York
Rio del Mar	CA	36.9607	-121.8807	1250	America/Los_Angeles
Port Townsend	WA	48.122	-122.7877	540	America/Los_Angeles
North Bend	OR	43.4075	-124.2364	953	America/Los_Angeles
Safford	AZ	32.8335	-109.6964	404	America/Phoenix
East Rutherford	NJ	40.8179	-74.0854	1009	America/New_York
Decatur	IN	40.8286	-84.9277	614	America/Indiana/Indianapolis
Rockcreek	OR	45.5526	-122.876	1904	America/Los_Angeles
Villas	NJ	39.0157	-74.935	959	America/New_York
Keansburg	NJ	40.4469	-74.1315	3491	America/New_York
Marysville	MI	42.9084	-82.4806	510	America/Detroit
Vega Alta	PR	18.4151	-66.3211	1978	America/Puerto_Rico
Croydon	PA	40.0911	-74.8975	1510	America/New_York
Little River	SC	33.8786	-78.6393	357	America/New_York
Kensington	CT	41.6284	-72.7686	623	America/New_York
